BFLOG : ***** Blue Fang Application Logfile *****
BFLOG : ***** Log Severity = 9  Delta1 = 0
BFLOG : ***** Date: 05/13 Time: 16:01
BFLOG : *****************************************
E:\Zoo\src\bf\bfwindow.cpp(177) : NOTE  : BFWindowInfo::registerClass
E:\Zoo\src\bf\bfwindow.cpp(177) : NOTE  : BFWindowInfo::registerClass
E:\Zoo\src\bf\bfwindow.cpp(232) : NOTE  : BFWindowInfo::createWindow
E:\Zoo\src\bf\bfwindow.cpp(232) : NOTE  : BFWindowInfo::createWindow
E:\Zoo\src\gx\gxvidman.cpp(203) : NOTE  : GXVidMan::createDirectDraw - Created.
E:\Zoo\src\gx\gxvidman.cpp(48) : NOTE  : GXVidMan::initialize - Initialization successful.
E:\Zoo\src\gx\gxvidman.cpp(251) : NOTE  : GXVidMan::setupFullscreen - Surfaces created.
E:\Zoo\src\gx\gxvidman.cpp(82) : NOTE  : GXVidMan::start - Now in fullscreen mode.
E:\Zoo\src\snd\dx8sndmgr.cpp(82) : NOTE  : succeeded at createDirectSound
E:\Zoo\src\bf\bfresmgr.cpp(102) : NOTE  : BFResourceMgr::Adding path: .
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./ai.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./ai.zip (7 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./animals.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./animals.zip (20878 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./animals2.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./animals2.zip (358 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./config.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./config.zip (17 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./fences.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./fences.zip (96 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./fringe.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./fringe.zip (11 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./global.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./global.zip (3271 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./guests.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./guests.zip (43 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./items.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./items.zip (22 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./objects.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./objects.zip (619 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./paths.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./paths.zip (6 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./research.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./research.zip (26 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./scenario.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./scenario.zip (135 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./scenery.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./scenery.zip (163 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./staff.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./staff.zip (30 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./terrain.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./terrain.zip (32 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./tiles.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./tiles.zip (53 entries)
E:\Zoo\src\bf\bfresmgr.cpp(114) : NOTE  : BFResourceMgr::Adding zip: ./ui.zip
E:\Zoo\src\bf\bfreszip.cpp(157) : NOTE  : BFResourceZip::read: ./ui.zip (1494 entries)
E:\Zoo\src\zt\zt.cpp(237) : NOTE  : BFAIMgr::instantiate in 3 ms.
E:\Zoo\src\zt\zt.cpp(240) : NOTE  : BFScenarioMgr::instantiate in 0 ms.
E:\Zoo\src\zt\ztadvterrainmgr.cpp(65) : NOTE  : ZTAdvTerrainMgr::create - Called.
E:\Zoo\src\zt\zt.cpp(247) : NOTE  : BFTerrainMgr::instantiate in 0 ms.
E:\Zoo\src\zt\ztadvterrainmgr.cpp(208) : NOTE  : ZTAdvTerrainMgr::startD3D - Starting up.
E:\Zoo\src\zt\ztadvterrainmgr.cpp(240) : NOTE  : ZTAdvTerrainMgr::startD3D - Started up successfully.
E:\Zoo\src\zt\ztadvterrainmgr.cpp(327) : NOTE  : ZTAdvTerrainMgr::setupRender - Setting up render environment.
E:\Zoo\src\zt\ztadvterrainmgr.cpp(432) : NOTE  : ZTAdvTerrainMgr::setupRender - Success.
E:\Zoo\src\zt\zt.cpp(253) : NOTE  : BFTerrainMgr::start in 96 ms.
E:\Zoo\src\zt\zt.cpp(257) : NOTE  : ZTHabitatMgr::instantiate in 1 ms.
E:\Zoo\src\zt\zt.cpp(260) : NOTE  : ZTMegatileMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(263) : NOTE  : ZTThoughtMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(266) : NOTE  : BFWorldMgr::instantiate in 18 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(38) : NOTE  : ZTItem::loadTypeMembers in 1 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(41) : NOTE  : ZTFoodType::loadTypeMembers in 2 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(44) : NOTE  : ZTPathType::loadTypeMembers in 0 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(47) : NOTE  : ZTFenceType::loadTypeMembers in 22 ms.
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 0 = bathroom
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 1 = building
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 2 = compost
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 3 = drink
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 4 = eat
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 5 = energy
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 6 = familybathroom
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 7 = food
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 8 = fun
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 9 = gift
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 10 = trash
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 11 = animalrest
